  ,Song,Artist(s),Genre,Year,BPM,Popularity,Time 
1,Beatiful Mistakes,Maroon 5,Pop Rock,2021,99,81,35
2,Fireflies,Owl City,Synth-Pop,2009,90,78,25
3,Let Me Go,Hailee Steinfeld | Alesso,Pop,2017,103,78,26
4,Passenger Side,Smallpools,Pop,2017,102,45,25
5,Pink Lemonade,The Wombats,Pop Rock,2015,144,49,22
6,Violet,Bad Suns,Pop Rock,2016,103,53,28
7,Crash My Car,COIN,Pop Rock,2020,92,68,26
8,Window,Magic Giant,Alternative Rock,2017,116,53,22
9,Roll Up,Fitz and The Tantrums,Pop Rock,2016,93,45,35
10,The Feels,Twice,K-Pop,2021,120,79,50
11,I'm Good,The Mowgli's,Alternative Rock,2016,96,61,28
12,Mood,24KGoldn,Pop Rap,2020,91,90,40
13,Runaway (U & I),Galantis,Progressive House,2014,126,74,11
14,Drive By,Train,Pop Rock,2012,122,77,55
15,Don't Stop Believin',Journey,Rock,1981,119,75,20
16,Deja Vu,Olivia Rodrigo,Pop,2021,90,86,28
17,Shivers,Ed Sheeran,Pop,2021,141,89,50
18,Treasure,Bruno Mars,Pop,2012,116,81,36
19,Lean on,Major Laser & DJ Snake,Electronic,2015,98,74,23
20,El Mismo Sol,Alvaro Soler,Latin Pop,2015,113,58,23
21,Eastside,Khalid | Benny Blanco | Halsey,Pop,2018,89,78,47
22,Firestone,Kygo,Tropical House,2015,114,77,24
23,We Come Running,Youngblood Hawke,Indie Pop,2012,125,50,41
24,Rather Be,Clean bandit,Pop,2014,121,75,25
25,Jump,Van Halen,Pop Rock,1984,130,67,19
26,Bam Bam,Camila Cabello,Latin Pop,2022,95,89,45
27,Alone,Marshmello,Trap,2016,142,77,12
28,Summer of '69,Bryan Adams,Rock,1984,139,83,25
29,Sweet But Psycho,Ava Max,Pop,2020,133,79,43
30,Once In A While,Timeflies,Pop,2016,105,61,42
31,Heat Waves,Glass Animals,Alternative,2020,81,86,36
32,Take a Walk,Passion Pit,Indie Pop,2012,101,70,37
33,These Days,Rudimental,Pop,2018,92,75,42
34,Red Lights,Tiesto,Progressive House,2014,125,66,23
35,Summer Days,Martin Garrix,Electronic Rock,2019,114,76,32
36,Chicken Fried,Zac Brown Band,Country,2005,170,77,25
37,Riptide,Vance Joy,Indie Folk,2013,102,77,40
38,Billionaire,Travie McCoy,Pop,2010,87,73,46
39,Dope on a Rope,The Growlers,Alternative,2016,146,60,21
40,Wake Me Up,Avicii,House,2013,124,89,20
41,Pompeii,Bastille,Alternative Rock,2013,127,73,38
42,Every Breath You Take,The Police,Soft Rock,1983,117,84,30
